Brand,Battery_capacity(mAh),Screen_size(inches),Touchscreen,Processor,RAM(GB),Internal_storage(GB),Operating system,Wi-Fi,Bluetooth,GPS,Number of SIMs,3G,4G/ LTE,Price,Resolution_width(px),Resolution_height(px),Rear_Camera(MP),Front_Camera(MP)
infocus,4000,6,Yes,4,2,16,android,Yes,Yes,Yes,2,Yes,Yes,6850,720,1440,13,8
meizu,3300,6,Yes,8,3,32,android,Yes,Yes,No,2,Yes,Yes,8999,720,1440,13,8
blackberry,2800,5,Yes,2,2,16,blackberry,Yes,Yes,Yes,1,Yes,Yes,7200,720,1280,8,2
panasonic,2500,6,Yes,8,1,8,android,Yes,Yes,Yes,2,Yes,No,11900,720,1280,13,2
karbonn,2900,5,Yes,4,2,16,android,Yes,Yes,Yes,2,No,No,6999,720,1280,8,8
lg,2300,5,Yes,4,1,8,android,Yes,Yes,Yes,1,Yes,No,3994,720,1280,13,5
lava,2000,5,Yes,4,1,8,android,Yes,Yes,Yes,2,Yes,Yes,4900,480,800,5,5
asus,3000,6,Yes,8,4,32,android,Yes,Yes,Yes,2,Yes,Yes,5499,1080,1920,13,8
nokia,3000,6,Yes,8,3,32,android,Yes,Yes,Yes,2,Yes,Yes,8849,1080,1920,16,8
leeco,3100,6,Yes,4,1,32,android,Yes,Yes,Yes,2,Yes,Yes,7790,1440,2560,21,8
xiaomi,4000,6,Yes,8,3,32,android,Yes,Yes,Yes,2,Yes,Yes,8290,1080,2280,12,5
lava,1750,5,Yes,4,0,8,android,Yes,Yes,No,1,Yes,No,4299,854,480,5,0
asus,5000,6,Yes,8,4,64,android,Yes,Yes,Yes,2,Yes,Yes,26999,1080,1920,12,13
samsung,3500,6,Yes,8,4,64,android,Yes,Yes,Yes,1,No,No,15999,1080,2220,16,24
samsung,2600,5,Yes,4,2,16,android,Yes,Yes,Yes,2,Yes,Yes,8299,720,1280,8,5
lenovo,2300,5,Yes,4,2,16,android,Yes,Yes,Yes,2,Yes,Yes,6399,720,1280,8,2
gionee,3150,6,Yes,8,3,32,android,Yes,Yes,Yes,2,Yes,Yes,15998,720,1280,13,5
swipe,3000,6,Yes,4,3,16,android,Yes,Yes,Yes,2,Yes,Yes,7500,720,1280,13,5
motorola,3050,6,Yes,8,3,32,android,Yes,Yes,Yes,2,Yes,Yes,7499,1080,1920,16,8
xiaomi,4030,6,Yes,8,4,64,android,Yes,Yes,Yes,2,Yes,Yes,11845,720,1560,48,32
kult,2600,5,Yes,4,3,32,android,Yes,Yes,No,2,Yes,Yes,3999,720,1280,13,5
vivo,4030,6,Yes,8,4,64,android,Yes,Yes,Yes,1,No,No,10499,720,1520,13,20
lava,1800,5,Yes,4,1,4,android,Yes,Yes,Yes,2,Yes,No,3632,480,854,8,2
billion,3500,6,Yes,8,3,32,android,Yes,Yes,Yes,2,Yes,Yes,4890,1080,1920,13,8
mobiistar,3000,6,Yes,8,3,32,android,Yes,Yes,Yes,2,Yes,Yes,5199,1080,1920,13,13
panasonic,2500,5,Yes,4,2,16,android,Yes,Yes,Yes,2,Yes,Yes,8990,720,1280,13,5
xolo,2300,5,Yes,4,1,8,android,Yes,Yes,Yes,2,Yes,No,7999,720,1280,8,5
