Brand,Battery_capacity(mAh),Screen_size(inches),Processor,RAM(GB),Internal_storage(GB),Operating system,Number of SIMs,Price,Resolution_width(px),Resolution_height(px),Rear_Camera(MP),Front_Camera(MP)
motorola,2600,6,4,4,64,android,2,11999,1440.0,2560.0,13,5
asus,3000,6,8,4,64,android,2,14999,1080.0,1920.0,16,8
smartron,3000,6,8,4,32,android,2,5490,1080.0,1920.0,13,4
motorola,3000,6,8,2,16,android,2,5999,1080.0,1920.0,16,5
coolpad,2800,6,8,4,64,android,2,8499,1080.0,1920.0,13,5
xiaomi,4850,6,6,3,32,android,2,11990,1080.0,1920.0,16,5
lenovo,4100,6,4,3,64,android,2,7499,1080.0,1920.0,13,8
leeco,3000,6,8,3,32,android,2,6999,1080.0,1920.0,16,8
leeco,3100,6,4,2,32,android,2,7790,1440.0,2560.0,21,8
huawei,3000,5,8,3,32,android,1,39999,1080.0,1920.0,12,8
apple,1624,4,1,2,16,ios,1,16999,640.0,1136.0,12,1
lg,2800,5,4,4,32,android,2,10999,1440.0,2560.0,16,8
oppo,2500,5,8,3,16,android,2,8999,720.0,1280.0,13,8
samsung,2900,5,8,2,16,android,2,19990,1080.0,1920.0,13,5
xiaomi,4050,6,6,2,16,android,2,6899,1080.0,1920.0,16,5
htc,2150,5,8,3,32,android,1,30149,1080.0,1920.0,13,4
blackberry,3410,5,6,3,32,android,1,19999,1440.0,2560.0,18,2
lg,2700,5,6,2,16,android,1,25990,1080.0,1920.0,12,5
apple,1715,5,2,2,16,ios,1,22999,750.0,1334.0,12,5
lenovo,4900,6,8,2,32,android,2,15999,1080.0,1920.0,13,5
lenovo,2420,5,8,3,32,android,2,10990,1080.0,1920.0,13,8
samsung,3000,6,8,4,32,android,1,17999,1440.0,2560.0,16,5
samsung,3000,6,8,4,32,android,1,14999,1440.0,2560.0,16,5
motorola,3630,6,8,2,16,android,2,7990,1080.0,1920.0,21,5
motorola,2470,5,4,1,8,android,2,10999,720.0,1280.0,13,5
honor,3100,5,8,3,16,android,1,15999,1080.0,1920.0,20,8
asus,3000,6,8,2,16,android,2,14999,1080.0,1920.0,13,13
lg,3000,6,6,3,32,android,1,13299,1440.0,2560.0,16,8
xiaomi,3120,5,8,2,16,android,2,12999,1080.0,1920.0,13,5
lenovo,2900,6,8,2,16,android,2,9999,1080.0,1920.0,13,5
motorola,3900,5,4,3,64,android,1,31999,1440.0,2560.0,21,2
gionee,2700,5,8,2,16,android,2,15999,1080.0,1920.0,13,8
lenovo,2900,5,8,3,32,android,2,9799,1080.0,1920.0,16,8
samsung,2600,5,8,3,32,android,1,25999,1440.0,2560.0,16,5
honor,3600,6,8,3,32,android,2,26499,1080.0,1920.0,8,8
htc,2600,6,8,2,16,android,2,25500,720.0,1280.0,13,8
htc,2600,5,4,2,16,android,1,28500,1080.0,1920.0,13,5
motorola,3220,6,4,3,32,android,1,13490,1440.0,2560.0,13,2
htc,2400,5,4,2,16,android,1,10990,1080.0,1920.0,13,13
blackberry,3450,5,4,3,32,blackberry,1,15999,1440.0,1440.0,13,2
apple,2915,6,1,1,16,ios,1,23999,1080.0,1920.0,8,1
apple,1810,5,2,1,16,ios,1,15999,750.0,1334.0,8,1
motorola,2300,5,4,2,16,android,1,23999,1080.0,1920.0,13,2
motorola,2070,5,4,1,16,android,2,13500,720.0,1280.0,8,2
sony,2600,5,4,2,16,android,1,38990,720.0,1280.0,20,2
samsung,3220,6,4,3,32,android,1,27900,1440.0,2560.0,16,3
samsung,3000,6,4,3,32,android,1,29950,1600.0,2560.0,16,3
xiaomi,3080,5,4,3,16,android,1,7987,1080.0,1920.0,13,8
lenovo,4000,6,4,3,32,android,2,29999,1440.0,2560.0,16,5
oneplus,3100,6,4,3,16,cyanogen,1,21999,1080.0,1920.0,13,5
samsung,2800,5,8,2,16,android,1,33999,1080.0,1920.0,16,2
sony,3200,5,4,3,16,android,1,35990,1080.0,1920.0,20,2
sony,2300,4,4,2,16,android,1,11999,720.0,1280.0,20,2
gionee,2500,6,4,2,16,android,1,3699,1080.0,1920.0,16,8
samsung,2600,5,4,1,8,android,2,15999,720.0,1280.0,8,1
motorola,2070,5,4,1,8,android,2,9999,720.0,1280.0,5,1
lg,2300,5,4,2,16,android,1,12000,1080.0,1920.0,8,1
nokia,3400,6,4,2,32,windows,1,34990,1080.0,1920.0,20,1
apple,1507,4,2,1,8,ios,1,8499,640.0,1136.0,8,1
xiaomi,3050,5,4,2,16,android,1,13999,1080.0,1920.0,13,2
samsung,3200,6,8,3,32,android,1,50650,1080.0,1920.0,13,2
sony,3000,5,1,2,16,android,1,56699,1080.0,1920.0,20,2
lg,3000,5,4,2,16,android,1,22499,1080.0,1920.0,13,2
motorola,2200,5,2,2,16,android,1,15000,720.0,1280.0,10,2
sony,2330,5,4,2,16,android,1,32490,1080.0,1920.0,13,2
samsung,2100,5,4,1,16,android,1,5999,720.0,1280.0,8,1
samsung,2600,5,8,2,16,android,1,57915,1080.0,1920.0,13,2
nokia,2000,5,2,1,32,windows,1,8999,768.0,1280.0,8,1
oppo,4000,6,8,8,128,android,2,18690,1080.0,2400.0,48,16
vivo,4500,6,8,8,128,android,2,18599,1080.0,2340.0,48,32
motorola,4000,6,8,4,64,android,2,12999,1080.0,2280.0,48,25
motorola,4000,6,8,4,64,android,2,8999,720.0,1520.0,13,8
vivo,5000,6,8,3,32,android,2,8990,720.0,1544.0,13,8
xiaomi,5000,6,8,2,32,android,2,6499,720.0,1520.0,12,8
oppo,5000,7,8,4,128,android,2,14730,720.0,1600.0,48,16
samsung,4000,6,8,3,32,android,2,8499,720.0,1520.0,13,8
infinix,5000,7,8,4,64,android,2,8000,720.0,1600.0,13,8
xiaomi,4000,6,8,3,32,android,2,9195,1080.0,2280.0,48,13
xiaomi,5000,6,8,4,64,android,2,7999,720.0,1520.0,12,8
realme,4230,6,8,3,32,android,2,6999,720.0,1520.0,13,13
infinix,4000,6,8,4,64,android,2,9990,720.0,1500.0,13,13
honor,4000,7,8,4,128,android,2,13999,1080.0,2340.0,48,16
motorola,3500,6,8,4,128,android,2,9999,1080.0,2520.0,12,12
lg,4000,6,8,3,32,android,2,8499,720.0,1520.0,13,16
infinix,4000,6,8,6,64,android,2,10999,720.0,1500.0,13,13
xiaomi,4000,5,8,2,16,android,2,5499,720.0,1440.0,12,5
infinix,4000,6,8,3,32,android,2,7999,720.0,1520.0,13,32
vivo,5000,6,8,4,128,android,2,11490,720.0,1544.0,13,20
infinix,3500,6,4,2,32,android,2,6999,720.0,1520.0,13,8
oppo,4000,6,8,2,32,android,2,6670,720.0,1560.0,8,5
oppo,4230,6,8,2,32,android,2,7935,1520.0,720.0,13,8
xiaomi,4000,6,8,3,32,android,2,7999,720.0,1520.0,12,32
realme,4000,6,8,2,16,android,2,5999,720.0,1560.0,13,5
honor,3400,6,8,4,128,android,2,10999,1080.0,2340.0,24,32
vivo,4500,6,8,4,128,android,2,14979,1080.0,2340.0,16,32
realme,4230,6,8,3,32,android,2,8490,720.0,1520.0,13,13
vivo,4000,7,8,6,64,android,2,14990,1080.0,2340.0,12,32
