Brand,Battery capacity,Screen size,Resolution,Processor,RAM,Internal storage,Camera,Operating system,Number of SIMs,Price
Tecno,3050 mAh,5 inch,720 x 1280 px,4,3000 mb,16 GB,8 MP Rear +  8 MP Front Camera,Android,2,9993
Tecno,4000 mAh,6 inch,720 x 1280 px,4,2000 mb,16 GB,13 MP Rear +  8 MP Front Camera,Android,2,6629
Tecno,3050 mAh,5 inch,720 x 1280 px,4,2000 mb,16 GB,8 MP Rear +  8 MP Front Camera,Android,2,7142
Videocon,3000 mAh,5 inch,480 x 854 px,4,1000 mb,8 GB,5 MP Rear +  2 MP Front Camera,Android,2,5599
Motorola,2350 mAh,5 inch,480 x 854 px,4,1000 mb,8 GB,5 MP Rear +  2 MP Front Camera,Android,2,5499
Motorola,2800 mAh,5 inch,720 x 1280 px,4,2000 mb,16 GB,8 MP Rear +  5 MP Front Camera,Android,2,8499
Micromax,4000 mAh,6 inch,1080 x 1920 px,8,3000 mb,32 GB,13 MP Rear +  5 MP Front Camera,Android,1,4960
Zopo,2500 mAh,6 inch,720 x 1280 px,4,3000 mb,16 GB,8 MP Rear +  5 MP Front Camera,Android,2,3980
Lephone,2000 mAh,5 inch,480 x 854 px,4,1000 mb,8 GB,5 MP Rear +  2 MP Front Camera,Android,2,4105
Ziox,2450 mAh,5 inch,480 x 854 px,4,1000 mb,8 GB,5 MP Rear +  2 MP Front Camera,Android,2,3699
Intex,2200 mAh,5 inch,720 x 1280 px,4,2000 mb,16 GB,8 MP Rear +  8 MP Front Camera,Android,2,6100
Sansui,2000 mAh,5 inch,480 x 854 px,4,1000 mb,8 GB,5 MP Rear +  3.2 MP Front Camera,Android,2,3900
Micromax,1300 mAh,4 inch,480 x 800 px,4,512 mb,4 GB,2 MP Rear +  0.3 MP Front Camera,Android,2,2359
Swipe,2000 mAh,4 inch,480 x 800 px,4,512 mb,4 GB,5 MP Rear +  1.3 MP Front Camera,Android,2,1999
Itel,2400 mAh,5 inch,480 x 854 px,4,1000 mb,8 GB,5 MP Rear +  2 MP Front Camera,Android,2,4880
Panasonic,4000 mAh,6 inch,720 x 1280 px,4,3000 mb,32 GB,13 MP Rear +  5 MP Front Camera,Android,2,5930
Panasonic,3000 mAh,5 inch,1080 x 1920 px,8,4000 mb,32 GB,16 MP Rear +  8 MP Front Camera,Android,2,11499
Intex,1450 mAh,4 inch,480 x 800 px,4,512 mb,4 GB,5 MP Rear +  1.3 MP Front Camera,Android,2,3935
Micromax,1800 mAh,5 inch,480 x 854 px,4,1000 mb,8 GB,5 MP Rear +  2 MP Front Camera,Android,2,4999
Zen,2000 mAh,5 inch,720 x 1280 px,4,1000 mb,8 GB,5 MP Rear +  2 MP Front Camera,Android,2,4790
Nubia,5000 mAh,6 inch,1080 x 1920 px,8,4000 mb,64 GB,13 MP Rear +  16 MP Front Camera,Android,2,9049
Nubia,3000 mAh,6 inch,720 x 1280 px,8,3000 mb,64 GB,13 MP Rear +  16 MP Front Camera,Android,2,7160
Karbonn,2000 mAh,5 inch,480 x 854 px,4,1000 mb,8 GB,5 MP Rear +  2 MP Front Camera,Android,1,5668
Intex,2600 mAh,5 inch,480 x 854 px,4,1000 mb,8 GB,5 MP Rear +  2 MP Front Camera,Android,2,3999
Lenovo,2000 mAh,5 inch,480 x 854 px,4,1000 mb,8 GB,5 MP Rear +  2 MP Front Camera,Android,2,6450
LeEco,4070 mAh,6 inch,1080 x 1920 px,4,4000 mb,32 GB,16 MP Rear +  8 MP Front Camera,Android,2,10990
iVoomi,3000 mAh,5 inch,1440 x 2560 px,4,1000 mb,8 GB,5 MP Rear +  5 MP Front Camera,Android,2,3900
Swipe,2500 mAh,5 inch,720 x 1280 px,4,3000 mb,32 GB,13 MP Rear +  8 MP Front Camera,Android,2,4400
Intex,2000 mAh,5 inch,480 x 854 px,4,1000 mb,8 GB,5 MP Rear +  2 MP Front Camera,Android,2,3690
Nubia,3000 mAh,6 inch,720 x 1280 px,4,2000 mb,16 GB,8 MP Rear +  5 MP Front Camera,Android,2,5999
ZTE,2800 mAh,5 inch,720 x 1280 px,8,2000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,5200
Alcatel,2800 mAh,5 inch,720 x 1280 px,8,3000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,15026
Sony,2300 mAh,5 inch,720 x 1280 px,8,3000 mb,32 GB,23 MP Rear +  8 MP Front Camera,Android,2,7994
Swipe,2500 mAh,5 inch,720 x 1280 px,4,2000 mb,16 GB,8 MP Rear +  5 MP Front Camera,Android,2,5999
Nokia,3000 mAh,5 inch,720 x 1280 px,8,2000 mb,16 GB,13 MP Rear +  8 MP Front Camera,Android,2,8999
Swipe,1800 mAh,4 inch,480 x 854 px,4,1000 mb,16 GB,5 MP Rear +  1.3 MP Front Camera,Android,2,2690
Asus,2600 mAh,5 inch,720 x 1280 px,4,2000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,4999
Intex,2000 mAh,5 inch,480 x 854 px,4,1000 mb,8 GB,5 MP Rear +  2 MP Front Camera,Android,2,4400
Intex,1500 mAh,4 inch,360 x 640 px,4,512 mb,4 GB,2 MP Rear +  0.3 MP Front Camera,Android,2,4095
Intex,2000 mAh,5 inch,720 x 1280 px,4,1000 mb,8 GB,5 MP Rear +  5 MP Front Camera,Android,2,4050
Swipe,4000 mAh,6 inch,720 x 1280 px,4,2000 mb,16 GB,8 MP Rear +  5 MP Front Camera,Android,2,4499
Lava,2500 mAh,5 inch,720 x 1280 px,4,2000 mb,8 GB,8 MP Rear +  5 MP Front Camera,Android,2,5599
Intex,2500 mAh,5 inch,720 x 1280 px,4,1000 mb,8 GB,8 MP Rear +  5 MP Front Camera,Android,2,6199
Micromax,2000 mAh,5 inch,720 x 1280 px,1,1000 mb,8 GB,5 MP Rear +  2 MP Front Camera,Android,1,4499
Micromax,4000 mAh,5 inch,720 x 1280 px,1,1000 mb,8 GB,8 MP Rear +  2 MP Front Camera,Android,1,3999
Samsung,2600 mAh,5 inch,540 x 960 px,1,1000 mb,8 GB,8 MP Rear +  5 MP Front Camera,Android,2,5990
Swipe,2500 mAh,5 inch,480 x 854 px,4,1000 mb,8 GB,5 MP Rear +  2 MP Front Camera,Android,2,2999
Xolo,2500 mAh,5 inch,720 x 1280 px,4,2000 mb,16 GB,8 MP Rear +  5 MP Front Camera,Android,2,6099
Lyf,3000 mAh,6 inch,720 x 1280 px,8,2000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,7000
Lyf,3000 mAh,5 inch,1080 x 1920 px,8,3000 mb,32 GB,16 MP Rear +  5 MP Front Camera,Android,2,7599
Karbonn,2800 mAh,6 inch,720 x 1280 px,4,1000 mb,8 GB,5 MP Rear +  3.2 MP Front Camera,Android,2,5900
Lyf,2250 mAh,5 inch,720 x 1280 px,4,2000 mb,16 GB,8 MP Rear +  5 MP Front Camera,Android,2,6099
LG,3200 mAh,6 inch,720 x 1280 px,8,3000 mb,16 GB,13 MP Rear +  8 MP Front Camera,Android,1,6999
LG,2500 mAh,5 inch,720 x 1280 px,4,2000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,7450
Zuk,3100 mAh,6 inch,1080 x 1920 px,4,4000 mb,64 GB,13 MP Rear +  8 MP Front Camera,Android,2,29124
Zen,2700 mAh,6 inch,720 x 1280 px,4,1000 mb,8 GB,8 MP Rear +  5 MP Front Camera,Android,2,3899
Lava,1850 mAh,5 inch,480 x 800 px,4,1000 mb,8 GB,5 MP Rear +  5 MP Front Camera,Android,2,5599
Swipe,3000 mAh,6 inch,1080 x 1920 px,8,4000 mb,32 GB,13 MP Rear +  8 MP Front Camera,Android,2,12999
Panasonic,2600 mAh,5 inch,720 x 1280 px,4,2000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,8000
Swipe,2000 mAh,4 inch,480 x 800 px,4,1000 mb,8 GB,5 MP Rear +  1.3 MP Front Camera,Android,2,3999
Gionee,2300 mAh,5 inch,720 x 1280 px,4,2000 mb,16 GB,8 MP Rear +  5 MP Front Camera,Android,2,7499
Micromax,1800 mAh,5 inch,480 x 854 px,4,1000 mb,8 GB,5 MP Rear +  2 MP Front Camera,Android,2,4950
Micromax,1600 mAh,4 inch,480 x 800 px,4,1000 mb,8 GB,5 MP Rear +  2 MP Front Camera,Android,2,4499
Meizu,4000 mAh,6 inch,1080 x 1920 px,8,3000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,5490
Lyf,2800 mAh,6 inch,1080 x 1920 px,8,2000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,5550
Lava,2800 mAh,6 inch,720 x 1280 px,4,2000 mb,32 GB,8 MP Rear +  5 MP Front Camera,Android,2,4999
Meizu,3400 mAh,6 inch,1440 x 2560 px,8,4000 mb,64 GB,12 MP Rear +  5 MP Front Camera,Android,2,27600
Panasonic,3000 mAh,6 inch,720 x 1280 px,8,3000 mb,32 GB,13 MP Rear +  5 MP Front Camera,Android,2,13990
HTC,3200 mAh,6 inch,1440 x 2560 px,8,3000 mb,32 GB,16 MP Rear +  8 MP Front Camera,Android,1,11100
Lyf,2250 mAh,5 inch,720 x 1280 px,4,1000 mb,8 GB,8 MP Rear +  5 MP Front Camera,Android,2,5099
Panasonic,2000 mAh,5 inch,720 x 1280 px,4,1000 mb,16 GB,8 MP Rear +  2 MP Front Camera,Android,2,6998
Zopo,2300 mAh,6 inch,720 x 1280 px,4,2000 mb,16 GB,8 MP Rear +  5 MP Front Camera,Android,2,4598
Motorola,3050 mAh,6 inch,1080 x 1920 px,8,3000 mb,32 GB,16 MP Rear +  8 MP Front Camera,Android,2,7499
Lyf,2000 mAh,5 inch,480 x 854 px,4,1000 mb,8 GB,8 MP Rear +  5 MP Front Camera,Android,2,3499
Huawei,4000 mAh,6 inch,1080 x 1920 px,8,4000 mb,64 GB,20 MP Rear +  8 MP Front Camera,Android,2,53983
Intex,4350 mAh,5 inch,720 x 1280 px,4,1000 mb,8 GB,0 MP Rear +  0 MP Front Camera,Android,2,3499
Zen,2900 mAh,6 inch,480 x 854 px,4,1000 mb,8 GB,5 MP Rear +  3.2 MP Front Camera,Android,2,3739
Swipe,2500 mAh,5 inch,480 x 854 px,4,1000 mb,8 GB,5 MP Rear +  2 MP Front Camera,Android,2,4999
Samsung,3300 mAh,6 inch,1080 x 1920 px,8,3000 mb,16 GB,13 MP Rear +  8 MP Front Camera,Android,2,11200
Xolo,2350 mAh,5 inch,720 x 1280 px,4,1000 mb,8 GB,5 MP Rear +  5 MP Front Camera,Android,2,4099
Zopo,2100 mAh,5 inch,720 x 1280 px,4,2000 mb,16 GB,8 MP Rear +  5 MP Front Camera,Android,2,4289
Intex,3650 mAh,6 inch,720 x 1280 px,4,2000 mb,16 GB,8 MP Rear +  5 MP Front Camera,Android,2,6772
Intex,1650 mAh,5 inch,480 x 854 px,4,1000 mb,8 GB,5 MP Rear +  0.3 MP Front Camera,Android,2,2699
Intex,2500 mAh,5 inch,720 x 1280 px,4,1000 mb,8 GB,5 MP Rear +  5 MP Front Camera,Android,2,5429
Intex,2800 mAh,6 inch,720 x 1280 px,4,1000 mb,8 GB,5 MP Rear +  5 MP Front Camera,Android,2,5849
Intex,2450 mAh,5 inch,480 x 854 px,4,1000 mb,8 GB,5 MP Rear +  5 MP Front Camera,Android,2,3999
Honor,3000 mAh,5 inch,1080 x 1920 px,8,2000 mb,16 GB,13 MP Rear +  8 MP Front Camera,Android,1,16699
Honor,3100 mAh,6 inch,720 x 1280 px,8,2000 mb,16 GB,13 MP Rear +  8 MP Front Camera,Android,1,5999
BlackBerry,3000 mAh,6 inch,1440 x 2560 px,4,4000 mb,32 GB,21 MP Rear +  8 MP Front Camera,Android,1,16999
Xiaomi,4850 mAh,6 inch,1080 x 1920 px,6,4000 mb,128 GB,16 MP Rear +  5 MP Front Camera,Android,2,19999
Lyf,4000 mAh,5 inch,720 x 1820 px,4,2000 mb,16 GB,8 MP Rear +  2 MP Front Camera,Android,2,6498
Lyf,1800 mAh,4 inch,480 x 800 px,4,1000 mb,8 GB,5 MP Rear +  0.3 MP Front Camera,Android,2,3579
Zen,2900 mAh,6 inch,854 x 480 px,4,1000 mb,8 GB,5 MP Rear +  2 MP Front Camera,Android,2,2999
Intex,2800 mAh,5 inch,480 x 854 px,4,2000 mb,16 GB,5 MP Rear +  2 MP Front Camera,Android,2,5949
Vivo,2730 mAh,5 inch,1280 x 720 px,8,2000 mb,16 GB,8 MP Rear +  5 MP Front Camera,Android,1,10450
Google,2770 mAh,5 inch,1080 x 1920 px,4,4000 mb,32 GB,12.3 MP Rear +  8 MP Front Camera,Android,1,22299
Karbonn,2300 mAh,5 inch,480 x 854 px,1,512 mb,4 GB,3.2 MP Rear +  0.3 MP Front Camera,Android,2,3999
Intex,2000 mAh,5 inch,480 x 854 px,1,1000 mb,8 GB,5 MP Rear +  2 MP Front Camera,Android,2,4532
Gionee,3100 mAh,6 inch,720 x 1080 px,8,3000 mb,32 GB,13 MP Rear +  5 MP Front Camera,Android,2,5999
Coolpad,4010 mAh,6 inch,1080 x 1920 px,8,4000 mb,32 GB,13 MP Rear +  8 MP Front Camera,Android,2,12050
Lava,2350 mAh,5 inch,480 x 854 px,4,1000 mb,8 GB,5 MP Rear +  5 MP Front Camera,Android,2,5500
Samsung,3300 mAh,6 inch,1080 x 1920 px,8,3000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,7999
Micromax,2000 mAh,5 inch,720 x 1280 px,4,2000 mb,16 GB,8 MP Rear +  5 MP Front Camera,Android,2,4299
Panasonic,2000 mAh,5 inch,720 x 1280 px,4,1000 mb,8 GB,8 MP Rear +  2 MP Front Camera,Android,2,6990
Lava,1850 mAh,5 inch,480 x 854 px,2,512 mb,4 GB,5 MP Rear +  0.3 MP Front Camera,Android,2,2299
Lava,2600 mAh,6 inch,720 x 1280 px,4,1000 mb,8 GB,8 MP Rear +  5 MP Front Camera,Android,2,6400
Micromax,1400 mAh,4 inch,480 x 800 px,4,1000 mb,8 GB,5 MP Rear +  0.3 MP Front Camera,Android,2,3195
HTC,2700 mAh,6 inch,720 x 1280 px,4,2000 mb,32 GB,13 MP Rear +  5 MP Front Camera,Android,2,16000
Samsung,2400 mAh,5 inch,720 x 1280 px,4,2000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,12499
Videocon,3000 mAh,5 inch,720 x 1280 px,4,3000 mb,32 GB,13 MP Rear +  5 MP Front Camera,Android,2,8250
Zopo,2300 mAh,6 inch,720 x 1280 px,4,1000 mb,16 GB,8 MP Rear +  2 MP Front Camera,Android,2,4333
Lenovo,2900 mAh,6 inch,720 x 1280 px,4,2000 mb,16 GB,8 MP Rear +  2 MP Front Camera,Android,2,6990
Lenovo,2300 mAh,5 inch,720 x 1280 px,4,2000 mb,16 GB,8 MP Rear +  2 MP Front Camera,Android,2,7300
Lenovo,2300 mAh,5 inch,720 x 1280 px,4,1000 mb,16 GB,8 MP Rear +  2 MP Front Camera,Android,2,7450
Zen,2000 mAh,5 inch,480 x 854 px,4,512 mb,8 GB,5 MP Rear +  1.3 MP Front Camera,Android,2,2799
Samsung,1950 mAh,4 inch,480 x 800 px,4,2000 mb,16 GB,8 MP Rear +  5 MP Front Camera,Android,1,16990
Xolo,2500 mAh,5 inch,1280 x 720 px,4,1000 mb,8 GB,8 MP Rear +  5 MP Front Camera,Android,2,5149
Intex,2200 mAh,5 inch,480 x 854 px,4,2000 mb,8 GB,5 MP Rear +  2 MP Front Camera,Android,2,2999
Intex,2000 mAh,5 inch,480 x 854 px,4,1000 mb,8 GB,5 MP Rear +  0.3 MP Front Camera,Android,2,2700
Lyf,2300 mAh,5 inch,720 x 1280 px,8,3000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,4060
Vivo,2000 mAh,5 inch,480 x 854 px,4,1000 mb,16 GB,5 MP Rear +  2 MP Front Camera,Android,2,7100
Intex,2200 mAh,5 inch,720 x 1280 px,6,2000 mb,16 GB,5 MP Rear +  5 MP Front Camera,Android,2,4299
InFocus,2600 mAh,6 inch,1280 x 720 px,4,3000 mb,16 GB,13 MP Rear +  8 MP Front Camera,Android,2,6499
Samsung,1500 mAh,4 inch,480 x 800 px,4,1000 mb,8 GB,5 MP Rear +  0.3 MP Front Camera,Tizen,2,3599
Yu,3000 mAh,5 inch,1080 x 1920 px,4,3000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,7000
Yu,2000 mAh,5 inch,720 x 1280 px,4,2000 mb,8 GB,8 MP Rear +  2 MP Front Camera,Android,2,6199
Celkon,2000 mAh,5 inch,480 x 854 px,4,1000 mb,8 GB,5 MP Rear +  3.2 MP Front Camera,Android,2,3999
Intex,1400 mAh,4 inch,480 x 800 px,4,512 mb,4 GB,2 MP Rear +  0.3 MP Front Camera,Android,1,3990
Intex,2000 mAh,4 inch,480 x 800 px,4,512 mb,4 GB,5 MP Rear +  0.3 MP Front Camera,Android,1,4999
Lyf,2250 mAh,5 inch,720 x 1280 px,4,2000 mb,16 GB,8 MP Rear +  5 MP Front Camera,Android,2,7499
Lyf,1750 mAh,4 inch,480 x 800 px,4,1000 mb,8 GB,5 MP Rear +  2 MP Front Camera,Android,2,2499
Intex,3400 mAh,6 inch,720 x 1280 px,4,2000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,6999
Asus,2070 mAh,5 inch,480 x 854 px,4,1000 mb,8 GB,8 MP Rear +  2 MP Front Camera,Android,2,4499
Lyf,2000 mAh,5 inch,480 x 854 px,4,1000 mb,8 GB,8 MP Rear +  5 MP Front Camera,Android,2,2545
Lyf,2920 mAh,6 inch,720 x 1280 px,4,2000 mb,16 GB,8 MP Rear +  2 MP Front Camera,Android,2,4999
Micromax,2500 mAh,5 inch,720 x 1280 px,4,2000 mb,16 GB,8 MP Rear +  5 MP Front Camera,Android,2,7998
Swipe,3000 mAh,5 inch,720 x 1280 px,4,2000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,2990
Lava,4000 mAh,5 inch,720 x 1280 px,4,1000 mb,8 GB,8 MP Rear +  2 MP Front Camera,Android,2,6199
Lyf,2850 mAh,6 inch,720 x 1280 px,4,2000 mb,16 GB,8 MP Rear +  2 MP Front Camera,Android,2,4995
Intex,2800 mAh,5 inch,480 x 854 px,1,1000 mb,8 GB,5 MP Rear +  2 MP Front Camera,Android,2,4600
Lenovo,3500 mAh,6 inch,1080 x 1920 px,8,3000 mb,32 GB,13 MP Rear +  8 MP Front Camera,Android,2,7990
Panasonic,2450 mAh,5 inch,720 x 1280 px,4,3000 mb,32 GB,8 MP Rear +  5 MP Front Camera,Android,2,5599
Panasonic,2400 mAh,4 inch,800 x 480 px,4,512 mb,8 GB,2 MP Rear +  0.3 MP Front Camera,Android,2,2190
Intex,2200 mAh,5 inch,1280 x 720 px,4,2000 mb,16 GB,8 MP Rear +  5 MP Front Camera,Android,1,6499
Lyf,2600 mAh,5 inch,720 x 1280 px,8,3000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,7900
Karbonn,2000 mAh,5 inch,1280 x 720 px,4,1000 mb,8 GB,8 MP Rear +  3.2 MP Front Camera,Android,2,3279
Samsung,2600 mAh,5 inch,720 x 1280 px,4,2000 mb,16 GB,8 MP Rear +  5 MP Front Camera,Android,2,10480
InFocus,2600 mAh,6 inch,1080 x 1920 px,8,3000 mb,16 GB,13 MP Rear +  13 MP Front Camera,Android,2,6000
Intex,2450 mAh,5 inch,720 x 1280 px,4,1000 mb,8 GB,5 MP Rear +  5 MP Front Camera,Android,2,4997
Lava,1500 mAh,4 inch,480 x 800 px,1,256 mb,1 GB,2 MP Rear +  0.3 MP Front Camera,Android,2,1999
Lava,1750 mAh,5 inch,480 x 800 px,4,1000 mb,8 GB,5 MP Rear +  0.3 MP Front Camera,Android,2,6999
Intex,2000 mAh,5 inch,480 x 854 px,4,512 mb,8 GB,5 MP Rear +  0.3 MP Front Camera,Android,2,2488
Intex,2800 mAh,5 inch,480 x 854 px,4,1000 mb,8 GB,5 MP Rear +  2 MP Front Camera,Android,2,3887
Lava,2350 mAh,5 inch,720 x 1280 px,4,1000 mb,8 GB,8 MP Rear +  5 MP Front Camera,Android,2,6600
Lyf,2920 mAh,5 inch,720 x 1280 px,1,2000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,4999
Asus,4100 mAh,5 inch,720 x 1280 px,4,2000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,13990
Karbonn,4000 mAh,5 inch,480 x 854 px,1,1000 mb,8 GB,8 MP Rear +  5 MP Front Camera,Android,2,3299
Samsung,3000 mAh,6 inch,720 x 1280 px,4,2000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,5990
Samsung,2600 mAh,5 inch,720 x 1280 px,4,2000 mb,16 GB,8 MP Rear +  5 MP Front Camera,Android,2,6480
Samsung,2600 mAh,5 inch,720 x 1280 px,4,1000 mb,8 GB,8 MP Rear +  5 MP Front Camera,Android,1,5990
Intex,3800 mAh,5 inch,720 x 1280 px,4,1000 mb,8 GB,8 MP Rear +  2 MP Front Camera,Android,2,4995
Nubia,5000 mAh,6 inch,1080 x 1920 px,8,3000 mb,32 GB,13 MP Rear +  13 MP Front Camera,Android,2,11999
Panasonic,3000 mAh,6 inch,1080 x 1920 px,8,3000 mb,32 GB,16 MP Rear +  5 MP Front Camera,Android,2,10990
TCL,2500 mAh,6 inch,720 x 1280 px,4,2000 mb,16 GB,8 MP Rear +  5 MP Front Camera,Android,2,4989
Karbonn,2200 mAh,4 inch,480 x 800 px,4,512 mb,4 GB,2 MP Rear +  0.3 MP Front Camera,Android,2,1999
Vivo,3000 mAh,5 inch,1080 x 1920 px,8,4000 mb,64 GB,13 MP Rear +  16 MP Front Camera,Android,2,9999
iBall,2300 mAh,5 inch,480 x 854 px,4,1000 mb,8 GB,5 MP Rear +  2 MP Front Camera,Android,2,4890
Nubia,3000 mAh,6 inch,1080 x 1920 px,4,6000 mb,64 GB,16 MP Rear +  8 MP Front Camera,Android,2,20999
Lyf,2500 mAh,5 inch,1080 x 1920 px,8,3000 mb,32 GB,13 MP Rear +  13 MP Front Camera,Android,2,6990
Intex,2100 mAh,5 inch,480 x 854 px,4,1000 mb,8 GB,5 MP Rear +  0.3 MP Front Camera,Android,2,4790
Micromax,2500 mAh,6 inch,720 x 1280 px,4,1000 mb,16 GB,8 MP Rear +  5 MP Front Camera,Android,2,7389
Oppo,2630 mAh,5 inch,720 x 1280 px,4,2000 mb,16 GB,8 MP Rear +  5 MP Front Camera,Android,2,8666
Intex,2500 mAh,5 inch,480 x 854 px,4,512 mb,8 GB,2 MP Rear +  0.3 MP Front Camera,Android,2,2658
Panasonic,5000 mAh,5 inch,720 x 1280 px,4,1000 mb,8 GB,8 MP Rear +  5 MP Front Camera,Android,2,5499
Xiaomi,4100 mAh,5 inch,720 x 1280 px,8,2000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,6500
Intex,2200 mAh,5 inch,720 x 1280 px,4,2000 mb,16 GB,8 MP Rear +  5 MP Front Camera,Android,2,4899
Lyf,3000 mAh,6 inch,1080 x 1920 px,8,2000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,494
Lyf,2300 mAh,5 inch,720 x 1280 px,4,1000 mb,8 GB,8 MP Rear +  5 MP Front Camera,Android,2,7000
Panasonic,2400 mAh,4 inch,480 x 800 px,4,1000 mb,8 GB,5 MP Rear +  2 MP Front Camera,Android,2,3590
Panasonic,1400 mAh,4 inch,480 x 800 px,4,512 mb,4 GB,5 MP Rear +  2 MP Front Camera,Android,2,2488
Lenovo,4050 mAh,6 inch,720 x 1280 px,4,3000 mb,32 GB,13 MP Rear +  5 MP Front Camera,Android,1,8999
Lenovo,4050 mAh,6 inch,1440 x 2560 px,8,4000 mb,64 GB,16 MP Rear +  8 MP Front Camera,Android,1,22999
Lava,2700 mAh,5 inch,720 x 1280 px,4,3000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,4999
Lyf,2000 mAh,5 inch,720 x 1280 px,4,1000 mb,8 GB,8 MP Rear +  5 MP Front Camera,Android,2,8399
Lava,2500 mAh,5 inch,720 x 1280 px,4,2000 mb,8 GB,8 MP Rear +  5 MP Front Camera,Android,2,9700
Intex,1800 mAh,5 inch,480 x 584 px,4,1000 mb,8 GB,5 MP Rear +  2 MP Front Camera,Android,2,4499
Samsung,2600 mAh,5 inch,720 x 1280 px,4,2000 mb,16 GB,8 MP Rear +  5 MP Front Camera,Android,2,8299
Lyf,1750 mAh,4 inch,480 x 800 px,4,512 mb,4 GB,2 MP Rear +  2 MP Front Camera,Android,2,1999
Swipe,3050 mAh,5 inch,1080 x 1920 px,8,2000 mb,16 GB,13 MP Rear +  8 MP Front Camera,Android,2,2999
Lava,2000 mAh,5 inch,480 x 854 px,4,1000 mb,8 GB,5 MP Rear +  2 MP Front Camera,Android,2,8999
Intex,3000 mAh,5 inch,720 x 1280 px,4,2000 mb,16 GB,8 MP Rear +  5 MP Front Camera,Android,2,4500
LG,3000 mAh,6 inch,1080 x 1920 px,8,3000 mb,16 GB,16 MP Rear +  8 MP Front Camera,Android,1,8999
LG,4100 mAh,5 inch,720 x 1280 px,4,2000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,6999
Lyf,1400 mAh,4 inch,480 x 800 px,4,512 mb,8 GB,2 MP Rear +  0.3 MP Front Camera,Android,2,4199
Zen,1800 mAh,5 inch,480 x 854 px,4,1000 mb,8 GB,5 MP Rear +  2 MP Front Camera,Android,2,2639
Lava,1750 mAh,5 inch,480 x 800 px,4,512 mb,4 GB,5 MP Rear +  0.3 MP Front Camera,Android,2,4199
Lava,1300 mAh,4 inch,480 x 800 px,4,512 mb,4 GB,2 MP Rear +  0.3 MP Front Camera,Android,2,2399
Panasonic,4000 mAh,5 inch,720 x 1280 px,4,3000 mb,16 GB,8 MP Rear +  5 MP Front Camera,Android,2,5430
Lava,2200 mAh,6 inch,480 x 800 px,4,1000 mb,8 GB,5 MP Rear +  2 MP Front Camera,Android,2,4200
Micromax,2500 mAh,5 inch,720 x 1280 px,4,1000 mb,8 GB,8 MP Rear +  8 MP Front Camera,Android,2,5970
Micromax,1750 mAh,5 inch,480 x 854 px,4,1000 mb,8 GB,5 MP Rear +  5 MP Front Camera,Android,2,4299
Intex,2200 mAh,5 inch,720 x 1280 px,4,1000 mb,8 GB,8 MP Rear +  5 MP Front Camera,Android,2,4999
Intex,1900 mAh,5 inch,480 x 854 px,4,1000 mb,8 GB,5 MP Rear +  2 MP Front Camera,Android,2,4866
Motorola,2800 mAh,5 inch,720 x 1280 px,4,2000 mb,16 GB,8 MP Rear +  5 MP Front Camera,Android,2,6990
Sony,2700 mAh,6 inch,1080 x 1920 px,8,3000 mb,16 GB,21.5 MP Rear +  16 MP Front Camera,Android,1,7999
Lenovo,2300 mAh,5 inch,720 x 1280 px,4,1000 mb,8 GB,5 MP Rear +  2 MP Front Camera,Android,1,4500
HTC,2200 mAh,5 inch,720 x 1280 px,8,3000 mb,32 GB,13 MP Rear +  5 MP Front Camera,Android,2,6498
Lyf,4000 mAh,5 inch,720 x 1280 px,4,1000 mb,8 GB,8 MP Rear +  2 MP Front Camera,Android,2,5999
Lyf,1500 mAh,4 inch,480 x 800 px,4,1000 mb,8 GB,5 MP Rear +  2 MP Front Camera,Android,2,3599
Lava,2000 mAh,5 inch,480 x 800 px,4,512 mb,4 GB,5 MP Rear +  2 MP Front Camera,Android,2,3399
Micromax,2000 mAh,5 inch,720 x 1280 px,4,3000 mb,16 GB,8 MP Rear +  2 MP Front Camera,Android,2,4595
