Brand,Battery capacity,Screen size,Resolution,Processor,RAM,Internal storage,Camera,Operating system,Number of SIMs,Price
Samsung,4500 mAh,7 inch,1080 x 2400 px,8,8000 mb,128 GB,48 MP Rear +  32 MP Front Camera,Android,1,39999
Realme,5000 mAh,7 inch,720 x 1600 px,8,4000 mb,64 GB,12 MP Rear +  8 MP Front Camera,Android,2,8999
Samsung,4500 mAh,7 inch,1080 x 2400 px,8,6000 mb,128 GB,12 MP Rear +  32 MP Front Camera,Android,1,38999
Vivo,4500 mAh,6 inch,1080 x 2400 px,8,8000 mb,128 GB,48 MP Rear +  32 MP Front Camera,Android,2,21150
Vivo,5000 mAh,7 inch,1080 x 2340 px,8,4000 mb,64 GB,16 MP Rear +  16 MP Front Camera,Android,2,10990
Realme,5000 mAh,7 inch,720 x 1600 px,8,4000 mb,64 GB,48 MP Rear +  13 MP Front Camera,Android,2,9999
Realme,4000 mAh,6 inch,1080 x 2340 px,8,4000 mb,64 GB,64 MP Rear +  32 MP Front Camera,Android,2,16999
Vivo,4100 mAh,6 inch,1080 x 2400 px,8,8000 mb,128 GB,48 MP Rear +  32 MP Front Camera,Android,2,26220
Nubia,5000 mAh,7 inch,1080 x 2340 px,8,8000 mb,128 GB,48 MP Rear +  16 MP Front Camera,Android,2,47999
Samsung,6000 mAh,6 inch,1080 x 2340 px,8,4000 mb,64 GB,48 MP Rear +  16 MP Front Camera,Android,2,12999
Vivo,4500 mAh,6 inch,1080 x 2340 px,8,4000 mb,128 GB,48 MP Rear +  32 MP Front Camera,Android,2,15990
Oppo,4000 mAh,7 inch,1080 x 2340 px,8,8000 mb,256 GB,48 MP Rear +  16 MP Front Camera,Android,1,23100
Realme,4000 mAh,6 inch,1080 x 2340 px,8,4000 mb,64 GB,64 MP Rear +  16 MP Front Camera,Android,2,14999
Xiaomi,4500 mAh,7 inch,1080 x 2340 px,8,6000 mb,64 GB,64 MP Rear +  20 MP Front Camera,Android,2,13999
Nokia,3500 mAh,6 inch,1080 x 2340 px,8,4000 mb,64 GB,48 MP Rear +  20 MP Front Camera,Android,2,15377
Samsung,4000 mAh,6 inch,1080 x 2340 px,8,4000 mb,128 GB,48 MP Rear +  32 MP Front Camera,Android,2,16650
Realme,4035 mAh,6 inch,1080 x 2340 px,8,4000 mb,64 GB,48 MP Rear +  16 MP Front Camera,Android,2,11999
Realme,5000 mAh,7 inch,720 x 1600 px,8,3000 mb,32 GB,12 MP Rear +  13 MP Front Camera,Android,2,8600
Vivo,5000 mAh,7 inch,1080 x 2340 px,8,4000 mb,64 GB,16 MP Rear +  32 MP Front Camera,Android,2,12990
Xiaomi,4030 mAh,6 inch,720 x 1560 px,8,4000 mb,64 GB,48 MP Rear +  32 MP Front Camera,Android,2,11845
Asus,5000 mAh,6 inch,1080 x 2340 px,8,6000 mb,64 GB,48 MP Rear +  48 MP Front Camera,Android,2,27999
Samsung,3500 mAh,6 inch,1080 x 2340 px,8,6000 mb,128 GB,32 MP Rear +  16 MP Front Camera,Android,2,16879
Xiaomi,4000 mAh,6 inch,1080 x 2340 px,8,3000 mb,32 GB,48 MP Rear +  13 MP Front Camera,Android,2,8649
Motorola,3500 mAh,6 inch,1080 x 2520 px,8,4000 mb,128 GB,48 MP Rear +  25 MP Front Camera,Android,2,13690
Nubia,5000 mAh,7 inch,1080 x 2340 px,8,8000 mb,128 GB,48 MP Rear +  16 MP Front Camera,Android,2,35999
Oppo,4020 mAh,7 inch,1080 x 2340 px,8,4000 mb,128 GB,16 MP Rear +  16 MP Front Camera,Android,2,11990
Google,3700 mAh,6 inch,1080 x 2160 px,8,4000 mb,64 GB,12.2 MP Rear +  8 MP Front Camera,Android,1,34999
LG,3550 mAh,6 inch,1080 x 2248 px,8,6000 mb,64 GB,12 MP Rear +  8 MP Front Camera,Android,2,39990
Vivo,3700 mAh,6 inch,1080 x 2340 px,8,6000 mb,128 GB,48 MP Rear +  32 MP Front Camera,Android,2,17973
Xiaomi,4000 mAh,6 inch,1080 x 2340 px,8,3000 mb,32 GB,12 MP Rear +  13 MP Front Camera,Android,2,9699
Samsung,5000 mAh,6 inch,1080 x 2340 px,8,3000 mb,32 GB,13 MP Rear +  8 MP Front Camera,Android,2,9999
Samsung,5000 mAh,6 inch,1080 x 2340 px,8,3000 mb,32 GB,13 MP Rear +  16 MP Front Camera,Android,2,9499
Asus,5000 mAh,6 inch,1080 x 2280 px,8,3000 mb,32 GB,12 MP Rear +  13 MP Front Camera,Android,2,11999
Realme,3500 mAh,6 inch,1080 x 2340 px,8,3000 mb,32 GB,13 MP Rear +  25 MP Front Camera,Android,2,8999
Honor,3400 mAh,6 inch,1080 x 2340 px,8,3000 mb,32 GB,13 MP Rear +  24 MP Front Camera,Android,2,7999
Nokia,3500 mAh,6 inch,1080 x 2244 px,8,4000 mb,64 GB,12 MP Rear +  20 MP Front Camera,Android,2,18000
Samsung,3800 mAh,6 inch,1080 x 2220 px,8,6000 mb,128 GB,24 MP Rear +  24 MP Front Camera,Android,2,22000
Samsung,3300 mAh,6 inch,1080 x 2220 px,8,4000 mb,64 GB,24 MP Rear +  24 MP Front Camera,Android,2,16490
Xiaomi,4000 mAh,6 inch,1080 x 2280 px,8,4000 mb,64 GB,12 MP Rear +  20 MP Front Camera,Android,2,9580
Vivo,3400 mAh,6 inch,1080 x 2340 px,8,6000 mb,64 GB,12 MP Rear +  25 MP Front Camera,Android,2,14990
Oppo,3700 mAh,6 inch,1080 x 2340 px,8,8000 mb,128 GB,12 MP Rear +  25 MP Front Camera,Android,2,21299
Nokia,3060 mAh,6 inch,720 x 1520 px,8,3000 mb,32 GB,13 MP Rear +  8 MP Front Camera,Android,2,6999
Honor,3750 mAh,7 inch,1080 x 2340 px,8,4000 mb,64 GB,20 MP Rear +  16 MP Front Camera,Android,2,9999
Poco,4000 mAh,6 inch,1080 x 2246 px,8,6000 mb,64 GB,12 MP Rear +  20 MP Front Camera,Android,2,14990
Nokia,3060 mAh,6 inch,1080 x 2280 px,8,4000 mb,64 GB,16 MP Rear +  16 MP Front Camera,Android,2,8999
Vivo,4000 mAh,7 inch,1080 x 2316 px,8,8000 mb,128 GB,12 MP Rear +  8 MP Front Camera,Android,2,29999
Oppo,3730 mAh,6 inch,1080 x 2340 px,8,8000 mb,256 GB,16 MP Rear +  25 MP Front Camera,Android,2,59090
Honor,3750 mAh,6 inch,1080 x 2340 px,8,4000 mb,64 GB,16 MP Rear +  16 MP Front Camera,Android,2,18011
Realme,3410 mAh,6 inch,1080 x 2160 px,8,3000 mb,32 GB,13 MP Rear +  8 MP Front Camera,Android,2,10299
Xiaomi,3000 mAh,6 inch,1080 x 2160 px,8,4000 mb,64 GB,12 MP Rear +  20 MP Front Camera,Android,2,8990
Honor,3400 mAh,6 inch,1080 x 2280 px,8,6000 mb,128 GB,16 MP Rear +  24 MP Front Camera,Android,2,16990
Oppo,3400 mAh,6 inch,1080 x 2280 px,8,4000 mb,64 GB,16 MP Rear +  25 MP Front Camera,Android,2,18990
Vivo,3200 mAh,6 inch,1080 x 2280 px,8,6000 mb,64 GB,12 MP Rear +  12 MP Front Camera,Android,2,18290
Nokia,3260 mAh,6 inch,1440 x 2560 px,8,6000 mb,128 GB,12 MP Rear +  5 MP Front Camera,Android,1,13999
Infinix,4000 mAh,6 inch,720 x 1440 px,8,3000 mb,32 GB,13 MP Rear +  20 MP Front Camera,Android,2,9999
Nokia,3000 mAh,6 inch,1080 x 1920 px,8,3000 mb,32 GB,16 MP Rear +  8 MP Front Camera,Android,2,8849
Honor,3750 mAh,6 inch,1080 x 2160 px,8,6000 mb,128 GB,16 MP Rear +  13 MP Front Camera,Android,2,15899
Infinix,4350 mAh,6 inch,1080 x 1920 px,8,6000 mb,128 GB,12 MP Rear +  16 MP Front Camera,Android,2,15900
Oppo,3200 mAh,6 inch,1080 x 2160 px,8,4000 mb,32 GB,16 MP Rear +  20 MP Front Camera,Android,2,10499
OnePlus,3300 mAh,6 inch,1080 x 2160 px,8,6000 mb,64 GB,16 MP Rear +  16 MP Front Camera,Android,2,28499
Honor,3340 mAh,6 inch,1080 x 2160 px,8,4000 mb,64 GB,16 MP Rear +  16 MP Front Camera,Android,2,8999
Xiaomi,3400 mAh,6 inch,1080 x 2160 px,8,6000 mb,64 GB,12 MP Rear +  5 MP Front Camera,Android,2,29999
Lenovo,4000 mAh,5 inch,1080 x 1920 px,8,3000 mb,32 GB,13 MP Rear +  8 MP Front Camera,Android,2,6990
