Brand,Battery_capacity(mAh),Screen_size(inches),Touchscreen,Processor,RAM(GB),Internal_storage(GB),Operating system,Wi-Fi,Bluetooth,GPS,Number of SIMs,3G,4G/ LTE,Price,Resolution_width(px),Resolution_height(px),Rear_Camera(MP),Front_Camera(MP)
Nokia,3500,6,Yes,8,4,64,Android,Yes,Yes,No,2,Yes,Yes,15377,1080,2340,48,20
Samsung,4000,6,Yes,8,4,128,Android,Yes,Yes,Yes,2,Yes,Yes,16650,1080,2340,48,32
Realme,4035,6,Yes,8,4,64,Android,Yes,Yes,Yes,2,Yes,Yes,11999,1080,2340,48,16
Realme,5000,7,Yes,8,3,32,Android,Yes,Yes,Yes,2,Yes,Yes,8600,720,1600,12,13
Vivo,5000,7,Yes,8,4,64,Android,Yes,Yes,Yes,2,Yes,Yes,12990,1080,2340,16,32
Xiaomi,4030,6,Yes,8,4,64,Android,Yes,Yes,Yes,2,Yes,Yes,11845,720,1560,48,32
Asus,5000,6,Yes,8,6,64,Android,Yes,Yes,Yes,2,Yes,Yes,27999,1080,2340,48,48
Samsung,3500,6,Yes,8,6,128,Android,Yes,Yes,Yes,2,Yes,Yes,16879,1080,2340,32,16
Xiaomi,4000,6,Yes,8,3,32,Android,Yes,Yes,Yes,2,Yes,Yes,8649,1080,2340,48,13
Motorola,3500,6,Yes,8,4,128,Android,Yes,Yes,Yes,2,Yes,Yes,13690,1080,2520,48,25
Nubia,5000,7,Yes,8,8,128,Android,Yes,Yes,No,2,Yes,Yes,35999,1080,2340,48,16
Oppo,4020,7,Yes,8,4,128,Android,Yes,Yes,No,2,Yes,Yes,11990,1080,2340,16,16
Google,3700,6,Yes,8,4,64,Android,Yes,Yes,Yes,1,Yes,Yes,34999,1080,2160,12,8
LG,3550,6,Yes,8,6,64,Android,Yes,Yes,Yes,2,Yes,Yes,39990,1080,2248,12,8
Vivo,3700,6,Yes,8,6,128,Android,Yes,Yes,Yes,2,Yes,Yes,17973,1080,2340,48,32
Xiaomi,4000,6,Yes,8,3,32,Android,Yes,Yes,Yes,2,Yes,Yes,9699,1080,2340,12,13
Samsung,5000,6,Yes,8,3,32,Android,No,Yes,Yes,2,Yes,Yes,9999,1080,2340,13,8
Samsung,5000,6,Yes,8,3,32,Android,Yes,Yes,Yes,2,Yes,Yes,9499,1080,2340,13,16
Asus,5000,6,Yes,8,3,32,Android,Yes,Yes,Yes,2,Yes,Yes,11999,1080,2280,12,13
Realme,3500,6,Yes,8,3,32,Android,Yes,Yes,Yes,2,Yes,Yes,8999,1080,2340,13,25
Honor,3400,6,Yes,8,3,32,Android,Yes,Yes,Yes,2,Yes,Yes,7999,1080,2340,13,24
Nokia,3500,6,Yes,8,4,64,Android,Yes,Yes,Yes,2,Yes,Yes,18000,1080,2244,12,20
Samsung,3800,6,Yes,8,6,128,Android,Yes,Yes,Yes,2,Yes,Yes,22000,1080,2220,24,24
Samsung,3300,6,Yes,8,4,64,Android,Yes,Yes,Yes,2,No,Yes,16490,1080,2220,24,24
Xiaomi,4000,6,Yes,8,4,64,Android,Yes,Yes,Yes,2,Yes,Yes,9580,1080,2280,12,20
Vivo,3400,6,Yes,8,6,64,Android,Yes,Yes,Yes,2,Yes,Yes,14990,1080,2340,12,25
Oppo,3700,6,Yes,8,8,128,Android,Yes,Yes,Yes,2,Yes,Yes,21299,1080,2340,12,25
Nokia,3060,6,Yes,8,3,32,Android,Yes,Yes,Yes,2,Yes,Yes,6999,720,1520,13,8
Honor,3750,7,Yes,8,4,64,Android,Yes,Yes,Yes,2,Yes,Yes,9999,1080,2340,20,16
Poco,4000,6,Yes,8,6,64,Android,Yes,Yes,Yes,2,Yes,Yes,14990,1080,2246,12,20
Nokia,3060,6,Yes,8,4,64,Android,Yes,Yes,Yes,2,Yes,Yes,8999,1080,2280,16,16
Vivo,4000,7,Yes,8,8,128,Android,Yes,Yes,Yes,2,Yes,Yes,29999,1080,2316,12,8
Oppo,3730,6,Yes,8,8,256,Android,Yes,Yes,Yes,2,Yes,Yes,59090,1080,2340,16,25
Honor,3750,6,Yes,8,4,64,Android,Yes,Yes,Yes,2,Yes,Yes,18011,1080,2340,16,16
Realme,3410,6,Yes,8,3,32,Android,Yes,Yes,Yes,2,Yes,Yes,10299,1080,2160,13,8
Xiaomi,3000,6,Yes,8,4,64,Android,Yes,Yes,Yes,2,Yes,Yes,8990,1080,2160,12,20
Honor,3400,6,Yes,8,6,128,Android,Yes,Yes,Yes,2,Yes,Yes,16990,1080,2280,16,24
Oppo,3400,6,Yes,8,4,64,Android,Yes,Yes,Yes,2,Yes,Yes,18990,1080,2280,16,25
Vivo,3200,6,Yes,8,6,64,Android,Yes,Yes,Yes,2,Yes,Yes,18290,1080,2280,12,12
Nokia,3260,6,Yes,8,6,128,Android,Yes,Yes,Yes,1,Yes,Yes,13999,1440,2560,12,5
Infinix,4000,6,Yes,8,3,32,Android,Yes,Yes,Yes,2,Yes,Yes,9999,720,1440,13,20
Nokia,3000,6,Yes,8,3,32,Android,Yes,Yes,Yes,2,Yes,Yes,8849,1080,1920,16,8
Honor,3750,6,Yes,8,6,128,Android,Yes,Yes,Yes,2,Yes,Yes,15899,1080,2160,16,13
Infinix,4350,6,Yes,8,6,128,Android,Yes,Yes,Yes,2,Yes,Yes,15900,1080,1920,12,16
Oppo,3200,6,Yes,8,4,32,Android,Yes,Yes,Yes,2,Yes,Yes,10499,1080,2160,16,20
OnePlus,3300,6,Yes,8,6,64,Android,Yes,Yes,Yes,2,Yes,Yes,28499,1080,2160,16,16
Honor,3340,6,Yes,8,4,64,Android,Yes,Yes,Yes,2,Yes,Yes,8999,1080,2160,16,16
Xiaomi,3400,6,Yes,8,6,64,Android,Yes,Yes,Yes,2,Yes,Yes,29999,1080,2160,12,5
Lenovo,4000,5,Yes,8,3,32,Android,Yes,Yes,Yes,2,Yes,Yes,6990,1080,1920,13,8
Xiaomi,3080,6,Yes,8,4,32,Android,Yes,Yes,Yes,2,Yes,Yes,9999,1080,1920,12,5
LG,3300,6,Yes,8,4,128,Android,Yes,Yes,Yes,2,Yes,Yes,27999,1440,2880,16,5
Lenovo,4000,6,Yes,10,3,32,Android,Yes,Yes,Yes,2,Yes,Yes,7299,1080,1920,13,13
Motorola,3000,5,Yes,8,3,32,Android,Yes,Yes,Yes,2,Yes,Yes,9999,1080,1920,16,5
Google,3520,6,Yes,8,4,64,Android,Yes,Yes,Yes,1,Yes,Yes,12994,1440,2880,12,8
Google,2700,5,Yes,8,4,64,Android,Yes,Yes,Yes,1,Yes,Yes,9994,1080,1920,12,8
Motorola,3000,5,Yes,8,3,32,Android,Yes,Yes,Yes,2,Yes,Yes,12500,1080,1920,12,16
Motorola,3000,6,Yes,8,3,32,Android,Yes,Yes,Yes,2,Yes,Yes,8500,1080,1920,13,8
Xiaomi,3300,6,Yes,8,2,16,Android,Yes,Yes,Yes,2,Yes,Yes,6499,720,1440,12,5
Xiaomi,4000,6,Yes,8,3,32,Android,Yes,Yes,Yes,2,Yes,Yes,8699,1080,2160,12,5
Jio,2000,2,No,2,0,4,Cyanogen,Yes,Yes,Yes,1,No,Yes,1249,240,320,2,0
Samsung,3300,6,Yes,8,4,32,Android,Yes,Yes,Yes,2,Yes,Yes,9890,1080,1920,13,13
