Brand,Battery_capacity(mAh),Screen_size(inches),Processor,Operating system,Resolution_height(px),Price,Internal_storage(GB),Resolution_width(px),Rear_Camera(MP),Front_Camera(MP),RAM(GB),Number of SIMs
huawei,4200,6,8,android,3120.0,11.066497727453186,4.859812404361672,7.273092595999522,3.713572066704308,3.2188758248682006,1.9459101490553132,16
lg,3300,6,8,android,3120.0,10.308952660644293,4.859812404361672,7.273092595999522,2.5649493574615367,2.1972245773362196,1.9459101490553132,16
oneplus,3700,6,8,android,2340.0,10.373491181781864,4.859812404361672,6.985641817639208,2.833213344056216,2.833213344056216,1.9459101490553132,16
apple,2942,6,6,ios,1792.0,10.725467604939041,4.174387269895637,6.720220155135295,2.5649493574615367,2.0794415416798357,1.3862943611198906,16
apple,2658,7,6,ios,2688.0,11.156250521031495,4.174387269895637,7.1252830915107115,2.5649493574615367,2.0794415416798357,1.6094379124341003,16
apple,2658,6,6,ios,2436.0,11.002099841204238,4.174387269895637,7.026426808699636,2.5649493574615367,2.0794415416798357,1.6094379124341003,16
google,3430,6,8,android,2960.0,10.778768772309705,4.174387269895637,7.273092595999522,2.5649493574615367,2.1972245773362196,1.6094379124341003,1
google,2915,6,8,android,2160.0,10.545341438708522,4.174387269895637,6.985641817639208,2.5649493574615367,2.1972245773362196,1.6094379124341003,1
asus,4000,6,8,android,2160.0,11.156250521031495,4.859812404361672,6.985641817639208,2.5649493574615367,2.1972245773362196,2.1972245773362196,16
samsung,4000,6,8,android,2960.0,10.950806546816688,4.859812404361672,7.273092595999522,2.5649493574615367,2.1972245773362196,1.9459101490553132,16
lg,3000,6,8,android,3120.0,10.545341438708522,4.859812404361672,7.273092595999522,2.833213344056216,2.1972245773362196,1.9459101490553132,16
asus,5000,6,8,android,2160.0,9.209439966733019,3.4965075614664802,6.985641817639208,2.6390573296152584,2.1972245773362196,1.3862943611198906,16
huawei,4000,6,8,android,2240.0,10.819598268208338,4.174387269895637,6.985641817639208,3.713572066704308,3.2188758248682006,1.6094379124341003,16
oneplus,3300,6,8,android,2280.0,10.46310334047155,4.174387269895637,6.985641817639208,2.833213344056216,2.833213344056216,1.9459101490553132,16
asus,3300,6,8,android,2246.0,9.852194258148577,4.174387269895637,6.985641817639208,2.5649493574615367,2.1972245773362196,1.6094379124341003,16
xiaomi,4000,6,8,android,2160.0,9.143131622282732,4.174387269895637,6.985641817639208,2.5649493574615367,3.044522437723423,1.6094379124341003,16
nokia,3800,6,8,android,2160.0,9.392745258631441,4.174387269895637,6.985641817639208,2.5649493574615367,2.833213344056216,1.6094379124341003,16
samsung,3500,6,8,android,2960.0,10.308952660644293,4.174387269895637,7.273092595999522,2.5649493574615367,2.1972245773362196,1.9459101490553132,16
samsung,3000,6,8,android,2960.0,10.203592144986466,4.174387269895637,7.273092595999522,2.5649493574615367,2.1972245773362196,1.6094379124341003,16
htc,3930,6,8,android,2560.0,10.87787736679393,4.859812404361672,7.273092595999522,2.5649493574615367,2.1972245773362196,1.9459101490553132,16
