Name,Brand,Battery_capacity(mAh),Screen_size(inches),Touchscreen,Processor,Operating system,Wi-Fi,Bluetooth,GPS,3G,4G/ LTE,Resolution_width(px),Resolution_height(px),Price,Internal_storage(GB),Rear_Camera(MP),Front_Camera(MP),RAM(GB),Number of SIMs
Samsung Galaxy A6+,Samsung,0.6504177501898597,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,No,No,1.0004504625321018,1.3235232125932184,9.680344001221918,1.3087674093511814,0.7790173689482113,2.0272598158699267,1.0091139351558178,-2.1322667433044113
Moto E5 Plus,Motorola,2.3685856702577315,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,-0.3289663717790384,-0.07932363453650482,9.148464968258095,0.5340813189817668,0.2776316517840247,-0.06655195422890328,0.5204715396506635,0.41659169399276824
Nubia Red Magic,Nubia,0.9940513342034342,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,1.0004504625321018,1.2156119166601627,10.121055589517152,2.0920764700263845,1.50893548855188,0.4746544835841936,2.381175882178299,0.41659169399276824
InFocus Vision 3 Pro,InFocus,1.2231403902124838,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,-0.3289663717790384,-0.07932363453650482,8.986071187374463,1.3087674093511814,0.41562338496454787,1.1112066667444338,1.0091139351558178,0.41659169399276824
Itel S42,Itel,0.07769511016723579,0.8582648318935419,Yes,-0.6949802219880059,Android,Yes,Yes,No,Yes,Yes,-0.3289663717790384,-0.07932363453650482,9.0455836463617,-0.2239363612360481,0.41562338496454787,1.1112066667444338,0.5204715396506635,0.41659169399276824
Huawei P20 Lite,Huawei,0.07769511016723579,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,1.0004504625321018,1.431434508526274,9.45727857185611,1.3087674093511814,0.7790173689482113,2.0272598158699267,1.0091139351558178,0.41659169399276824
Vivo V9,Vivo,0.37551088297900026,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,1.0004504625321018,1.431434508526274,9.528139343331775,1.3087674093511814,0.7790173689482113,2.0272598158699267,1.0091139351558178,0.41659169399276824
Moto G6 Play,Motorola,1.2231403902124838,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,No,No,Yes,-0.3289663717790384,-0.07932363453650482,8.99342737041261,0.5340813189817668,0.41562338496454787,0.4746544835841936,0.5204715396506635,0.41659169399276824
Honor 7C,Honor,0.07769511016723579,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,-0.3289663717790384,-0.07932363453650482,8.961879012677683,0.5340813189817668,0.41562338496454787,0.4746544835841936,0.5204715396506635,0.41659169399276824
Moto G6,Motorola,0.07769511016723579,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,No,Yes,Yes,1.0004504625321018,1.2156119166601627,9.259130536145614,0.5340813189817668,0.2776316517840247,1.4073595766500984,0.5204715396506635,0.41659169399276824
Smartron t.phone P,Smartron,2.3685856702577315,-0.5553478324017044,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,-0.3289663717790384,-0.3670870903579865,9.259225769705994,0.5340813189817668,0.41562338496454787,-0.06655195422890328,0.5204715396506635,0.41659169399276824
Oppo A83,Oppo,0.28387526057538043,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,-0.3289663717790384,-0.07932363453650482,8.824677891164198,-0.2239363612360481,0.41562338496454787,0.4746544835841936,-0.08478362749881975,0.41659169399276824
Honor 9 Lite,Honor,0.07769511016723579,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,1.0004504625321018,1.2156119166601627,9.097171673870545,0.5340813189817668,0.41562338496454787,1.1112066667444338,0.5204715396506635,0.41659169399276824
10.or D,10.or,0.6504177501898597,-0.5553478324017044,Yes,-0.6949802219880059,Android,Yes,Yes,Yes,Yes,Yes,-0.3289663717790384,-0.3670870903579865,8.517193191416238,-0.2239363612360481,0.41562338496454787,-0.06655195422890328,-0.08478362749881975,0.41659169399276824
InFocus Vision 3,InFocus,1.2231403902124838,0.8582648318935419,Yes,-0.6949802219880059,Android,Yes,Yes,Yes,Yes,Yes,-0.3289663717790384,-0.07932363453650482,8.832149906002899,-0.2239363612360481,0.41562338496454787,0.4746544835841936,-0.08478362749881975,0.41659169399276824
Samsung Galaxy A8+ (2018),Samsung,0.6504177501898597,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,No,No,1.0004504625321018,1.3235232125932184,9.735128070758227,1.3087674093511814,0.7790173689482113,1.4073595766500984,1.7790267403792863,-2.1322667433044113
Gionee S11 Lite,Gionee,0.11205846856859322,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,-0.3289663717790384,-0.07932363453650482,8.751474487140904,0.5340813189817668,0.41562338496454787,1.4073595766500984,1.0091139351558178,0.41659169399276824
Vivo V7,Vivo,0.07769511016723579,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,-0.3289663717790384,-0.07932363453650482,9.546169544733285,0.5340813189817668,0.7790173689482113,2.0272598158699267,1.0091139351558178,0.41659169399276824
Redmi Y1,Xiaomi,0.16933073257085562,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,-0.3289663717790384,-0.3670870903579865,9.046762057999363,-0.2239363612360481,0.41562338496454787,1.4073595766500984,-0.08478362749881975,0.41659169399276824
Redmi 5A,Xiaomi,0.07769511016723579,-0.5553478324017044,Yes,-0.6949802219880059,Android,Yes,Yes,Yes,Yes,Yes,-0.3289663717790384,-0.3670870903579865,8.881836305004146,-0.2239363612360481,0.41562338496454787,-0.06655195422890328,-0.08478362749881975,0.41659169399276824
Honor 7X,Honor,0.4671465053826201,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,1.0004504625321018,1.2156119166601627,9.4511666581427,0.5340813189817668,0.7790173689482113,0.4746544835841936,1.0091139351558178,0.41659169399276824
Honor Holly 4,Honor,0.10060401576814075,-0.5553478324017044,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,-0.3289663717790384,-0.3670870903579865,9.047821442478408,0.5340813189817668,0.41562338496454787,-0.06655195422890328,0.5204715396506635,0.41659169399276824
Gionee M7 Power,Gionee,2.3685856702577315,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,-0.3289663717790384,-0.07932363453650482,9.09279480812114,1.3087674093511814,0.41562338496454787,0.4746544835841936,1.0091139351558178,0.41659169399276824
Vivo V7+,Vivo,0.3354202981774166,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,-0.3289663717790384,-0.07932363453650482,9.3048320350689,1.3087674093511814,0.7790173689482113,2.0272598158699267,1.0091139351558178,0.41659169399276824
Asus ZenFone 4 Selfie Pro,Asus,0.07769511016723579,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,1.0004504625321018,0.7839667329279403,10.165851817003619,1.3087674093511814,0.7790173689482113,1.0008709882058655,1.0091139351558178,0.41659169399276824
LG Q6,LG,0.07769511016723579,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,1.0004504625321018,1.2156119166601627,9.099297073182859,0.5340813189817668,0.41562338496454787,-0.06655195422890328,0.5204715396506635,0.41659169399276824
Oppo F3,Oppo,0.3067841661762854,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,1.0004504625321018,0.7839667329279403,9.391911647379434,1.3087674093511814,0.41562338496454787,1.4073595766500984,1.0091139351558178,0.41659169399276824
Smartron srt.phone,Smartron,0.07769511016723579,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,1.0004504625321018,0.7839667329279403,8.699514748210191,0.5340813189817668,0.41562338496454787,-0.06655195422890328,1.0091139351558178,0.41659169399276824
Vivo V5s,Vivo,0.07769511016723579,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,-0.3289663717790384,-0.3670870903579865,9.472012088995733,1.3087674093511814,0.41562338496454787,1.7416702940038153,1.0091139351558178,0.41659169399276824
Micromax Evok Power,Micromax,1.2231403902124838,-0.5553478324017044,Yes,-0.6949802219880059,Android,Yes,Yes,No,No,Yes,-0.3289663717790384,-0.3670870903579865,8.612503371220562,-0.2239363612360481,-0.4013041151763782,-0.06655195422890328,-0.08478362749881975,0.41659169399276824
Lava Z25,Lava,0.10060401576814075,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,-0.3289663717790384,-0.3670870903579865,9.392745258631441,0.5340813189817668,0.41562338496454787,0.4746544835841936,1.0091139351558178,0.41659169399276824
Nubia M2,Nubia,0.799325636595742,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,1.0004504625321018,0.7839667329279403,9.472012088995733,1.3087674093511814,0.41562338496454787,1.4073595766500984,1.0091139351558178,0.41659169399276824
Cat S60,Cat,0.9940513342034342,-0.5553478324017044,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,-0.3289663717790384,-0.3670870903579865,10.596634733096073,-0.2239363612360481,0.41562338496454787,-0.06655195422890328,-0.08478362749881975,0.41659169399276824
Coolpad Note 5 Lite,Coolpad,-0.49502752985538817,-0.5553478324017044,Yes,-0.6949802219880059,Android,Yes,Yes,Yes,Yes,Yes,-0.3289663717790384,-0.3670870903579865,8.364275084991524,-0.2239363612360481,0.41562338496454787,0.4746544835841936,0.5204715396506635,0.41659169399276824
Gionee A1,Gionee,1.234594843012936,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,1.0004504625321018,0.7839667329279403,9.210340371976184,1.3087674093511814,0.41562338496454787,1.4073595766500984,1.0091139351558178,0.41659169399276824
Sony Xperia XA1 Ultra,Sony,-0.26593847384633856,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,No,Yes,1.0004504625321018,0.7839667329279403,8.698681067461614,1.3087674093511814,1.4311616130683487,1.4073595766500984,1.0091139351558178,0.41659169399276824
Sony Xperia XZs,Sony,-0.036849417837289004,-0.5553478324017044,Yes,-0.6949802219880059,Android,Yes,Yes,Yes,Yes,Yes,1.0004504625321018,0.7839667329279403,10.30865261563529,0.5340813189817668,1.085288423972505,1.1112066667444338,1.0091139351558178,0.41659169399276824
Gionee A1 Plus,Gionee,1.85313529423737,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,1.0004504625321018,0.7839667329279403,6.902742737158593,1.3087674093511814,0.41562338496454787,1.7416702940038153,1.0091139351558178,0.41659169399276824
Motorola Moto G5,Motorola,-0.1513939458418138,-0.5553478324017044,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,1.0004504625321018,0.7839667329279403,8.603554357064281,-0.2239363612360481,0.41562338496454787,-0.06655195422890328,-0.08478362749881975,0.41659169399276824
Honor 8 Lite,Honor,0.07769511016723579,-0.5553478324017044,Yes,1.1293428607305096,Android,Yes,Yes,No,Yes,Yes,1.0004504625321018,0.7839667329279403,9.611395771595648,1.3087674093511814,0.2776316517840247,0.4746544835841936,1.0091139351558178,0.41659169399276824
Vivo V5 Plus,Vivo,0.14069460056972444,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,1.0004504625321018,0.7839667329279403,9.433563920090563,1.3087674093511814,0.7790173689482113,1.7416702940038153,1.0091139351558178,0.41659169399276824
Nokia 6,Nokia,0.07769511016723579,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,1.0004504625321018,0.7839667329279403,8.888894669371593,-0.2239363612360481,0.7790173689482113,0.4746544835841936,-0.08478362749881975,0.41659169399276824
Samsung Galaxy A7 (2017),Samsung,0.7649622781943846,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,1.0004504625321018,0.7839667329279403,10.16203685698089,0.5340813189817668,0.7790173689482113,1.4073595766500984,0.5204715396506635,0.41659169399276824
Samsung Galaxy A5 (2017),Samsung,0.07769511016723579,-0.5553478324017044,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,1.0004504625321018,0.7839667329279403,9.852194258148577,0.5340813189817668,0.7790173689482113,1.4073595766500984,0.5204715396506635,0.41659169399276824
Coolpad Note 3S,Coolpad,-0.49502752985538817,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,No,Yes,Yes,-0.3289663717790384,-0.7267914101348386,9.103979355984773,0.5340813189817668,0.41562338496454787,-0.06655195422890328,0.5204715396506635,0.41659169399276824
Oppo A57,Oppo,-0.036849417837289004,-0.5553478324017044,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,-0.3289663717790384,-0.3670870903579865,9.392745258631441,0.5340813189817668,0.41562338496454787,1.4073595766500984,0.5204715396506635,0.41659169399276824
Vivo V5,Vivo,0.07769511016723579,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,-0.3289663717790384,-0.3670870903579865,9.713657880251851,0.5340813189817668,0.41562338496454787,1.7416702940038153,1.0091139351558178,0.41659169399276824
Asus ZenFone 3 Max (ZC553KL),Asus,1.3376849182170085,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,1.0004504625321018,0.7839667329279403,9.0595174822416,0.5340813189817668,0.7790173689482113,0.4746544835841936,-0.08478362749881975,0.41659169399276824
Lyf F1,Lyf,0.3067841661762854,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,1.0004504625321018,0.7839667329279403,8.779557455883728,0.5340813189817668,0.7790173689482113,0.4746544835841936,0.5204715396506635,0.41659169399276824
InFocus Epic 1,InFocus,0.07769511016723579,0.8582648318935419,Yes,2.0415044020897675,Android,Yes,Yes,Yes,Yes,Yes,1.0004504625321018,0.7839667329279403,9.305650551780507,0.5340813189817668,0.7790173689482113,0.4746544835841936,0.5204715396506635,0.41659169399276824
Honor 6X,Honor,0.4671465053826201,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,1.0004504625321018,0.7839667329279403,9.546812608597396,0.5340813189817668,0.2776316517840247,0.4746544835841936,0.5204715396506635,0.41659169399276824
Intex Aqua S7,Intex,0.3067841661762854,-0.5553478324017044,Yes,-2.0632225340268926,Android,Yes,Yes,Yes,Yes,Yes,-0.3289663717790384,-0.3670870903579865,8.612503371220562,-0.2239363612360481,0.41562338496454787,-0.06655195422890328,0.5204715396506635,0.41659169399276824
Lenovo P2,Lenovo,2.4831301982622564,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,1.0004504625321018,0.7839667329279403,9.740968623038354,0.5340813189817668,0.41562338496454787,-0.06655195422890328,0.5204715396506635,0.41659169399276824
Lenovo K6 Note,Lenovo,1.2231403902124838,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,1.0004504625321018,0.7839667329279403,9.09279480812114,0.5340813189817668,0.7790173689482113,0.4746544835841936,0.5204715396506635,0.41659169399276824
Gionee S6s,Gionee,0.24951190217402297,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,1.0004504625321018,0.7839667329279403,9.392745258631441,0.5340813189817668,0.41562338496454787,0.4746544835841936,0.5204715396506635,0.41659169399276824
Coolpad Cool 1 Dual,Coolpad,1.2231403902124838,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,1.0004504625321018,0.7839667329279403,9.444621667700849,0.5340813189817668,0.41562338496454787,0.4746544835841936,0.5204715396506635,0.41659169399276824
Oppo F1s,Oppo,0.16360350617062938,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,-0.3289663717790384,-0.3670870903579865,9.679781342959442,0.5340813189817668,0.41562338496454787,1.4073595766500984,0.5204715396506635,0.41659169399276824
BlackBerry DTEK50,BlackBerry,-0.3690285490504109,-0.5553478324017044,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,1.0004504625321018,0.7839667329279403,9.392661928770137,-0.2239363612360481,0.41562338496454787,0.4746544835841936,0.5204715396506635,-2.1322667433044113
Asus ZenFone 3 Laser,Asus,0.07769511016723579,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,1.0004504625321018,0.7839667329279403,8.612503371220562,0.5340813189817668,0.41562338496454787,0.4746544835841936,1.0091139351558178,0.41659169399276824
Lenovo Phab 2 Plus,Lenovo,1.280412654214746,0.8582648318935419,Yes,1.1293428607305096,Android,Yes,Yes,Yes,Yes,Yes,1.0004504625321018,0.7839667329279403,9.210340371976184,0.5340813189817668,0.41562338496454787,0.4746544835841936,0.5204715396506635,-2.1322667433044113
